scraped_at,competitor,product_name,price,stock_status,url,error
2026-04-03 12:32:21,Mighty Ape,Space Marines Primaris Librarian,,unknown,https://www.mightyape.co.nz/product/warhammer-40000-space-marine-primaris-librarian/26853441,
2026-04-03 12:32:29,Mighty Ape,Space Marines Primaris Reivers,,unknown,https://www.mightyape.co.nz/product/warhammer-40000-space-marine-primaris-reivers/26856277,
2026-04-03 12:32:37,Mighty Ape,Sylvaneth: Tree-Revenants,,unknown,https://www.mightyape.co.nz/product/sylvaneth-tree-revenants/25522630,
2026-04-03 12:32:45,Mighty Ape,Warhammer 40000: Introductory Set,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-warhammer-40000-introductory-set-37875024/,
2026-04-03 12:32:56,Nova Games,Age Of Sigmar: Introductory Set,96.50,out_of_stock,https://novagames.co.nz/products/age-of-sigmar-introductory-set,
2026-04-03 12:32:59,Nova Games,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:32:59,Nova Games,Orruk Warclans: Ardboy Big Boss,71.00,out_of_stock,https://novagames.co.nz/products/ardboy-big-boss,
2026-04-03 12:33:01,Nova Games,Orruk Warclans: Orruk Brutes,109.00,out_of_stock,https://novagames.co.nz/products/orruk-brutes,
2026-04-03 12:33:03,Nova Games,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:33:03,Nova Games,Space Marines Primaris Reivers,,not_carried,,
2026-04-03 12:33:03,Nova Games,Space Marines: Gladiator,,not_carried,,
2026-04-03 12:33:03,Nova Games,Space Marines: Primaris Intercessors,117.00,out_of_stock,https://novagames.co.nz/products/intercessors,
2026-04-03 12:33:07,Nova Games,Sylvaneth: Tree-Revenants,,not_carried,,
2026-04-03 12:33:07,Nova Games,Warhammer 40000: Introductory Set,98.50,out_of_stock,https://novagames.co.nz/products/warhammer-40-000-introductory-set,
2026-04-03 12:33:09,Nova Games,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:33:09,Vagabond,Age Of Sigmar: Introductory Set,96.00,out_of_stock,https://vagabond.co.nz/warhammer-age-of-sigmar-introductory-set-2024/,
